,Candidate,Party,Votes,Constituency
1219,CH. VENKATRAMULU,Shiv Sena,139,Telangana - Kodangal
1220,LINGAM CHINNA SAYAPPA,All India Samata Party,126,Telangana - Kodangal
1221,None of the Above,None of the Above,1472,Telangana - Kodangal
1222,S.RAJENDER REDDY,Telangana Rashtra Samithi,68767,Telangana - Narayanpet
1223,K.SHIVAKUMAR REDDY,Bahujana Left Party,53580,Telangana - Narayanpet
1224,K.RATHANGA PANDU REDDY,Bharatiya Janata Party,20111,Telangana - Narayanpet
1225,KRISHNA SARAF BANGARU BALAPPA,Indian National Congress,6344,Telangana - Narayanpet
1226,G.SANJEEVA REDDY,Telangana Congress Party,3989,Telangana - Narayanpet
1227,J.NAVITHA,Telangana Inti Party,3636,Telangana - Narayanpet
1228,KISTA REDDY,Independent,1011,Telangana - Narayanpet
1229,BODHIGELI SRINIVASULU,Bahujan Samaj Party,882,Telangana - Narayanpet
1230,K.RAAJU,Aam Aadmi Party,825,Telangana - Narayanpet
1231,PATEL RAMCHANDRA REDDY,Independent,661,Telangana - Narayanpet
1232,None of the Above,None of the Above,1948,Telangana - Narayanpet
1233,V. SRINIVAS GOUD,Telangana Rashtra Samithi,86474,Telangana - Mahbubnagar
1234,M. CHANDRA SHEKAR,Telugu Desam,28699,Telangana - Mahbubnagar
1235,IBRAHIM SYED,Bahujan Samaj Party,21664,Telangana - Mahbubnagar
1236,MAREPALLY SURENDER REDDY,Nationalist Congress Party,11633,Telangana - Mahbubnagar
1237,G. PADMAJA REDDY,Bharatiya Janata Party,5945,Telangana - Mahbubnagar
1238,MOHAMMED IMTIYAZ AHAMAD,Independent,1147,Telangana - Mahbubnagar
1239,BABU CHINTALAPALLY,Aam Aadmi Party,592,Telangana - Mahbubnagar
1240,MUDAVATH RAVI NAIK,Independent,513,Telangana - Mahbubnagar
1241,MOHD. GULAM GOUSE,Bahujana Left Party,364,Telangana - Mahbubnagar
1242,T. VENKATA SWAMY,Independent,314,Telangana - Mahbubnagar
1243,A. SRISHAILAM YADAV,Independent,280,Telangana - Mahbubnagar
1244,V. MALLIKARJUN,Independent,234,Telangana - Mahbubnagar
1245,JAGADEESH CHAND,Independent,200,Telangana - Mahbubnagar
1246,SATYANARAYANA,Shiv Sena,179,Telangana - Mahbubnagar
1247,None of the Above,None of the Above,1423,Telangana - Mahbubnagar
1248,CHARLAKOLA LAXMA REDDY,Telangana Rashtra Samithi,94598,Telangana - Jadcherla
1249,DR. MALLU RAVI,Indian National Congress,49516,Telangana - Jadcherla
1250,DR. CHINNALA MADHUSUDHAN,Bharatiya Janata Party,3601,Telangana - Jadcherla
1251,NARSINGRAO,Samajwadi Forward Bloc,2886,Telangana - Jadcherla
1252,MARPADGA RAMESH REDDY,Independent,1893,Telangana - Jadcherla
1253,KONGALI SHREEKANT,Bahujan Samaj Party,1470,Telangana - Jadcherla
1254,SHIVA KUMAR,Telangana Inti Party,1183,Telangana - Jadcherla
1255,ANAND UMMADI,Independent,941,Telangana - Jadcherla
1256,GANGAPURAM ELLAIAH,Independent,812,Telangana - Jadcherla
1257,KATIKE. NAGULU,Prajaa Swaraaj Party,604,Telangana - Jadcherla
1258,AJAY KUMAR GHOSH DASARI,Bahujana Left Party,579,Telangana - Jadcherla
1259,V. DASRAM NAIK,Bahujan Mukti Party,568,Telangana - Jadcherla
1260,K. RAGHAVA REDDY,Aam Aadmi Party,318,Telangana - Jadcherla
1261,NADIMINTI SRINIVASULU,Shiv Sena,200,Telangana - Jadcherla
1262,KONGALA PANDU,Samajwadi Party,196,Telangana - Jadcherla
1263,None of the Above,None of the Above,1117,Telangana - Jadcherla
1264,ALLA VENKATESWAR REDDY,Telangana Rashtra Samithi,96130,Telangana - Devarkadra
1265,PAVAN KUMAR,Indian National Congress,60882,Telangana - Devarkadra
1266,A.VENKATESHWAR REDDY,Samajwadi Forward Bloc,5937,Telangana - Devarkadra
1267,AGGANI NARSIMULU,Bharatiya Janata Party,5174,Telangana - Devarkadra
1268,RACHALA YUGANDER GOUD,Bahujan Samaj Party,914,Telangana - Devarkadra
1269,V.SHIVA REDDY,Independent,553,Telangana - Devarkadra
1270,VINODH KUMAR,Independent,501,Telangana - Devarkadra
1271,DUPPALLY JAYA RAMULU,Bahujana Left Party,417,Telangana - Devarkadra
1272,ADDULA  ARUNA,Independent,368,Telangana - Devarkadra
1273,S.KIRAN KUMAR,Independent,350,Telangana - Devarkadra
1274,M.B.BALAKRISHNA,Independent,195,Telangana - Devarkadra
1275,K.T. NARSIMHA REDDY,Independent,178,Telangana - Devarkadra
1276,D.JANARDHAN,Independent,122,Telangana - Devarkadra
1277,None of the Above,None of the Above,2689,Telangana - Devarkadra
1278,CHITTEM RAMMOHAN REDDY,Telangana Rashtra Samithi,78686,Telangana - Makthal
1279,JALANDER REDDY,Independent,30371,Telangana - Makthal
1280,K. DHAYYAKKAAR REDDY,Telugu Desam,26579,Telangana - Makthal
1281,KONDAIAH,Bharatiya Janata Party,20242,Telangana - Makthal
1282,KORI MAREPPA,Bahujan Samaj Party,1944,Telangana - Makthal
1283,G. RAVI KUMAR YADAV,Independent,1349,Telangana - Makthal
1284,G.VENKATRAM REDDY,Bahujana Left Party,1190,Telangana - Makthal
1285,JUTLA SRINIVASULU,Independent,1111,Telangana - Makthal
1286,SUDHARSHAN,All India Samata Party,790,Telangana - Makthal
1287,RAMESH KUMAR BANDARI,Samajwadi Party,575,Telangana - Makthal
1288,None of the Above,None of the Above,2106,Telangana - Makthal
1289,SINGIREDDY NIRANJAN REDDY,Telangana Rashtra Samithi,111956,Telangana - Wanaparthy
1290,CHINNA REDDY GILLELA,Indian National Congress,60271,Telangana - Wanaparthy
1291,KOTHA AMARENDAR REDDY,Bharatiya Janata Party,3168,Telangana - Wanaparthy
1292,BUJALA VENKATESHWAR REDDY,Independent,2266,Telangana - Wanaparthy
1293,AAVULA BAHUJANA SATYAM SAGARUDU,Bahujan Samaj Party,2203,Telangana - Wanaparthy
1294,G. KRISHNAIAH,Bahujana Left Party,1091,Telangana - Wanaparthy
1295,S. RAJ KUMAR,Independent,716,Telangana - Wanaparthy
1296,VISHNU VARDHAN REDDY,Independent,529,Telangana - Wanaparthy
1297,C.R.MUNI SWAMY,Republican Party of India,519,Telangana - Wanaparthy
1298,POLA PRASHANTH KUMAR,Independent,515,Telangana - Wanaparthy
1299,BABU GOUD AKKALA,Samajwadi Party,399,Telangana - Wanaparthy
1300,None of the Above,None of the Above,2014,Telangana - Wanaparthy
1301,BANDLA KRISHNA MOHAN REDDY,Telangana Rashtra Samithi,100415,Telangana - Gadwal
1302,ARUNA D.K,Indian National Congress,72155,Telangana - Gadwal
1303,M.D. ABDUL MOHEED KHAN,Samajwadi Forward Bloc,7189,Telangana - Gadwal
1304,BOYA KRISHNA,Independent,2103,Telangana - Gadwal
1305,G.VENKATADRI REDDY,Bharatiya Janata Party,1936,Telangana - Gadwal
1306,VEERA PRASAD,Bahujan Samaj Party,1406,Telangana - Gadwal
1307,GONGALLA RANJITH KUMAR,Bahujana Left Party,1275,Telangana - Gadwal
1308,T.G.RAJU MUDHIRAJ,Independent,1101,Telangana - Gadwal
1309,ABDULLAH,Nationalist Congress Party,694,Telangana - Gadwal
1310,ATHIKUR RAHAMAN,Independent,620,Telangana - Gadwal
1311,PEDDA KRISHNAIAH,Independent,398,Telangana - Gadwal
1312,AKEPOGU RAJESH.A,Independent,226,Telangana - Gadwal
1313,ARUN KUMAR,Independent,179,Telangana - Gadwal
1314,BOYA SHANKAR NAIDU,Shiv Sena,176,Telangana - Gadwal
1315,None of the Above,None of the Above,1319,Telangana - Gadwal
1316,ABRAHAM V.M.,Telangana Rashtra Samithi,102105,Telangana - Alampur 
1317,S.A.SAMPATH KUMAR,Indian National Congress,57426,Telangana - Alampur 
1318,HARIJANA ABRAHAM,Samajwadi Forward Bloc,8803,Telangana - Alampur 
1319,B.RAJINI,Bharatiya Janata Party,1965,Telangana - Alampur 
1320,B.HUSSAIN,Bahujan Samaj Party,1066,Telangana - Alampur 
1321,T.SURESH MAHARAJ,Independent,983,Telangana - Alampur 
1322,N.SOMESHWARI,Independent,896,Telangana - Alampur 
1323,PRASANGI,Pyramid Party of India,711,Telangana - Alampur 
1324,K. JAYAPAL,Independent,517,Telangana - Alampur 
1325,K.VARAPRASAD RAO,Bahujana Left Party,514,Telangana - Alampur 
1326,A.RAGHUVARDHAN,Independent,364,Telangana - Alampur 
1327,D.LAXMANNA,Independent,354,Telangana - Alampur 
1328,M. MADDLLETI,Independent,250,Telangana - Alampur 
1329,H.PARUSHA RAMUDU,Shiv Sena,237,Telangana - Alampur 
1330,None of the Above,None of the Above,3492,Telangana - Alampur 
1331,MARRI JANARDHAN REDDY,Telangana Rashtra Samithi,102493,Telangana - Nagarkurnool
1332,DR. JANARDHAN REDDY NAGAM,Indian National Congress,48139,Telangana - Nagarkurnool
1333,MENNO SAIMON,Samajwadi Forward Bloc,5545,Telangana - Nagarkurnool
1334,DILEEP NEDDANORI,Bharatiya Janata Party,3923,Telangana - Nagarkurnool
1335,VELJALA GALEEMMA,Prajaa Swaraaj Party,2153,Telangana - Nagarkurnool
1336,BAAKHI RENUKA,Bahujan Samaj Party,1507,Telangana - Nagarkurnool
1337,GADDAM VIJAY,Independent,775,Telangana - Nagarkurnool
1338,KONDAKINDI JAGADEESHWAR REDDY,Independent,642,Telangana - Nagarkurnool
1339,BAHADHUR SRINIVAS,Bahujana Left Party,523,Telangana - Nagarkurnool
1340,ANUGANTI RAJU,Nationalist Congress Party,431,Telangana - Nagarkurnool
1341,B.SAMPATH KUMAR,Independent,351,Telangana - Nagarkurnool
1342,ATHAPU CHANDRA SWAMY,Independent,341,Telangana - Nagarkurnool
1343,MOGGA ANIL KUMAR,Independent,300,Telangana - Nagarkurnool
1344,BEESAM GOPAL,Independent,275,Telangana - Nagarkurnool
1345,DHANALA VENGALA RAO NAIDU,Shiv Sena,260,Telangana - Nagarkurnool
1346,None of the Above,None of the Above,923,Telangana - Nagarkurnool
1347,GUVVALA BALARAJU,Telangana Rashtra Samithi,88073,Telangana - Achampet 
1348,CHIKKUDU VAMSHIKRISHNA,Indian National Congress,78959,Telangana - Achampet 
1349,MEDIPUR MALLESHWAR,Bharatiya Janata Party,3222,Telangana - Achampet 
1350,SRINIVASULU KOYYALA,Bahujan Samaj Party,821,Telangana - Achampet 
1351,MAHESH PALLE,Independent,798,Telangana - Achampet 
1352,BODDUPALLY SHEKAR,Bahujana Left Party,732,Telangana - Achampet 
1353,YELIMINETI RAJESH,Independent,433,Telangana - Achampet 
1354,CHARAGONDA KRISHNAMMA,Independent,291,Telangana - Achampet 
1355,GENTALA MALLAIAH,Independent,269,Telangana - Achampet 
1356,MUDDAMOLLA RAJAMOULI,Samajwadi Party,235,Telangana - Achampet 
1357,None of the Above,None of the Above,2406,Telangana - Achampet 
1358,GURKA JAIPAL YADAV,Telangana Rashtra Samithi,62892,Telangana - Kalwakurthy 
1359,ACHARY TALLOJU,Bharatiya Janata Party,59445,Telangana - Kalwakurthy 
1360,CHALLA VAMSHI CHAND REDDY,Indian National Congress,46523,Telangana - Kalwakurthy 
1361,GANGARAM SAI BABA,Bahujan Samaj Party,2500,Telangana - Kalwakurthy 
1362,KATTA JANGAIAH,Telangana Inti Party,1334,Telangana - Kalwakurthy 
1363,B. RAJU GOUD,Independent,712,Telangana - Kalwakurthy 
1364,JAMMULA SRIKANTH,Nationalist Congress Party,599,Telangana - Kalwakurthy 
1365,MEESAALA LAKSHMAIAH,Independent,558,Telangana - Kalwakurthy 
1366,DERANGULA SHEKAR,Independent,498,Telangana - Kalwakurthy 
1367,BALASWAMY GOUD SINGAM,Bahujana Left Party,357,Telangana - Kalwakurthy 
1368,KETHAVATH JAIPAL,Bahujan Mukti Party,345,Telangana - Kalwakurthy 
1369,ARJUN REDDY CHEEMARLA,Independent,277,Telangana - Kalwakurthy 
1370,VISLAVATH HARYA NAYAK,Jana Vaahini Party,187,Telangana - Kalwakurthy 
1371,ANTHIREDDY ARAVINDA REDDY,Shiv Sena,180,Telangana - Kalwakurthy 
1372,V.AMARNATH,India Praja Bandhu Party,151,Telangana - Kalwakurthy 
1373,None of the Above,None of the Above,1359,Telangana - Kalwakurthy 
1374,ANJAIAH YELGANAMONI,Telangana Rashtra Samithi,72315,Telangana - Shadnagar
1375,CHOWLAPALLY PRATAP REDDY,Indian National Congress,51890,Telangana - Shadnagar
1376,K. SHANKAR,Bahujan Samaj Party,27814,Telangana - Shadnagar
1377,NELLI SREEVARDHAN REDDY,Bharatiya Janata Party,5162,Telangana - Shadnagar
1378,ANDHARI ANJAIAH,Independent,3199,Telangana - Shadnagar
1379,AMMY  SANTHOSH KUMAR,Independent,2301,Telangana - Shadnagar
1380,KETHURU RAGHAVENDER,Independent,726,Telangana - Shadnagar
1381,ANTHAPOORAM MAHENDAR,Independent,312,Telangana - Shadnagar
1382,ANDRA ANUSHA REDDY,Aam Aadmi Party,297,Telangana - Shadnagar
1383,THUMMA VIJAYA ANAND REDDY,All India Forward Bloc,231,Telangana - Shadnagar
1384,NAGARAJU MANNARAM,Bahujana Left Party,218,Telangana - Shadnagar
1385,SANGAMESHWAR DHANAKKA,All India Samata Party,153,Telangana - Shadnagar
1386,None of the Above,None of the Above,1909,Telangana - Shadnagar
1387,BEERAM HARSHAVARDHAN REDDY,Indian National Congress,80611,Telangana - Kollapur
1388,JUPALLY KRISHNA RAO,Telangana Rashtra Samithi,68068,Telangana - Kollapur
1389,AELLENI SUDHAKAR RAO,Bharatiya Janata Party,13154,Telangana - Kollapur
1390,ENDRAKANTI VENKATESH,Independent,3419,Telangana - Kollapur
1391,BINGI SAYANNA,Independent,1903,Telangana - Kollapur
1392,J.BHRAMAIAH CHARY,Bahujana Left Party,1658,Telangana - Kollapur
1393,CHIKKEPALLI SANJEEVULU,Bahujan Samaj Party,1537,Telangana - Kollapur
1394,KATTA VAMSHI GOUD,Independent,844,Telangana - Kollapur
1395,BARIGELA SWAROOPARANI YADAV,Samajwadi Party,807,Telangana - Kollapur
1396,HANMANTHU,Independent,437,Telangana - Kollapur
1397,MURALIDHAR GUPTA,Telangana Prajala Party,256,Telangana - Kollapur
1398,None of the Above,None of the Above,1182,Telangana - Kollapur
1399,RAMAVATH RAVINDRA KUMAR,Telangana Rashtra Samithi,96454,Telangana - Devarakonda 
1400,BALU NAIK NENAVATH,Indian National Congress,57606,Telangana - Devarakonda 
1401,BHEELYA NAIK KETHAVATH,Bahujan Samaj Party,19350,Telangana - Devarakonda 
1402,BHOJYA NAIK RAMAVATH,Prajaa Swaraaj Party,3247,Telangana - Devarakonda 
1403,GOPI @ KALYAN NAIK,Bharatiya Janata Party,3152,Telangana - Devarakonda 
1404,SREENU VADTHYA,Independent,1190,Telangana - Devarakonda 
1405,LAXMAN NAYAK RAMAVATH,Communist Party of India  (Marxist),1084,Telangana - Devarakonda 
1406,KONREDDY POCHAIAH,Independent,798,Telangana - Devarakonda 
1407,KATRAVATH VENKATESH,Bahujan Mukti Party,542,Telangana - Devarakonda 
1408,PANDU RAMAVATH,Independent,466,Telangana - Devarakonda 
1409,None of the Above,None of the Above,1695,Telangana - Devarakonda 
1410,NOMULA NARSIMHAIAH,Telangana Rashtra Samithi,83655,Telangana - Nagarjuna Sagar
1411,JANA REDDY KUNDURU,Indian National Congress,75884,Telangana - Nagarjuna Sagar
1412,VADLAPALLY RAMAKRISHNA REDDY,Samajwadi Forward Bloc,9819,Telangana - Nagarjuna Sagar
1413,KANKANALA NIVEDITA,Bharatiya Janata Party,2675,Telangana - Nagarjuna Sagar
1414,MASNA VENUGOPALU,Independent,2338,Telangana - Nagarjuna Sagar
1415,KATTA YADAIAH MUDIRAJ,Bahujan Samaj Party,965,Telangana - Nagarjuna Sagar
1416,RATHAN KUMAR GANTEKAMPU,Independent,793,Telangana - Nagarjuna Sagar
1417,SOUJANYA RAMAVATH,Bahujana Left Party,681,Telangana - Nagarjuna Sagar
1418,MD. KUTUBODDIN,Aam Aadmi Party,624,Telangana - Nagarjuna Sagar
1419,JANAPATI NAGARAJU YADAV,Independent,446,Telangana - Nagarjuna Sagar
1420,PANUGOTHU LALSINGH,Independent,390,Telangana - Nagarjuna Sagar
1421,GOPALA BABU,Telangana Prajala Party,343,Telangana - Nagarjuna Sagar
1422,VANKADOTHU KOTA NAYAK,Independent,342,Telangana - Nagarjuna Sagar
1423,JAKKULA NARSIMHA,Independent,232,Telangana - Nagarjuna Sagar
1424,None of the Above,None of the Above,1325,Telangana - Nagarjuna Sagar
1425,NALLAMOTHU BHASKAR RAO,Telangana Rashtra Samithi,83931,Telangana - Miryalguda
1426,R. KRISHNAIAH,Indian National Congress,53279,Telangana - Miryalguda
1427,DHEERAVATH SKYLAB NAIK,Independent,13961,Telangana - Miryalguda
1428,JULAKANTI RANGA REDDY,Communist Party of India  (Marxist),11221,Telangana - Miryalguda
1429,PALLAPU BIKSHPATHI RAO,Independent,4758,Telangana - Miryalguda
1430,KARNATI PRABHAKAR,Bharatiya Janata Party,2502,Telangana - Miryalguda
1431,JILLA RAVI,Independent,1183,Telangana - Miryalguda
1432,CHINTHALA ARAVINDHA REDDY,Pyramid Party of India,849,Telangana - Miryalguda
1433,RAJU JADI,Bahujan Samaj Party,812,Telangana - Miryalguda
1434,KAMPASATI VENKANNA,Independent,745,Telangana - Miryalguda
1435,K. SRIDHAR GUPTHA,Independent,532,Telangana - Miryalguda
1436,KODAVATH NAGA NAIK,Independent,436,Telangana - Miryalguda
1437,DHANAVATH LALU NAIK,Independent,380,Telangana - Miryalguda
1438,SYED FAROOQ,Independent,366,Telangana - Miryalguda
1439,KARANTOTHU MANGTHA,Independent,334,Telangana - Miryalguda
1440,NAGENDAR BHOKRAY,Independent,289,Telangana - Miryalguda
1441,JANAIAH NANDIPATI,Independent,241,Telangana - Miryalguda
1442,KONUGANTTI RAGHAVARANI,Jai Swaraj Party,235,Telangana - Miryalguda
1443,BALAKRISHNA RAO,Shiv Sena,199,Telangana - Miryalguda
1444,NEELAKANTAM,Bahujan Mukti Party,195,Telangana - Miryalguda
1445,SUNKU SRINIVAS,Independent,189,Telangana - Miryalguda
1446,KODIREKKA ILAYARAJA,Independent,186,Telangana - Miryalguda
1447,BOLUSANI KRISHNAIAH,Independent,181,Telangana - Miryalguda
1448,GARIKAPATI RADHAKRISHNA,Navodayam Party,165,Telangana - Miryalguda
1449,ADE YADAGIRI,Independent,158,Telangana - Miryalguda
1450,MD. FAROOQ,Aam Aadmi Party,143,Telangana - Miryalguda
1451,RAJU RAMDENI,Independent,126,Telangana - Miryalguda
1452,SARIKONDA RUSHIKESHWAR RAJU,Independent,107,Telangana - Miryalguda
1453,M.V.R. REDDY,Independent,95,Telangana - Miryalguda
1454,None of the Above,None of the Above,1239,Telangana - Miryalguda
1455,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,92996,Telangana - Huzurnagar
1456,SANAMPUDI SAIDIREDDY,Telangana Rashtra Samithi,85530,Telangana - Huzurnagar
1457,RAGHUMAREDDY MEKALA,Independent,4944,Telangana - Huzurnagar
1458,PAREPALLY SEKHAR RAO,Communist Party of India  (Marxist),2121,Telangana - Huzurnagar
1459,BOBBA BHAGYA REDDY,Bharatiya Janata Party,1555,Telangana - Huzurnagar
1460,RAMESH SUNKARA,Independent,1454,Telangana - Huzurnagar
1461,DASARI SRINIVASARAO,Bahujan Samaj Party,1018,Telangana - Huzurnagar
1462,KALVAKUNTLA RAMAIAH,Independent,736,Telangana - Huzurnagar
1463,BALU GUGULOTHU,Independent,727,Telangana - Huzurnagar
1464,MEDARI VEERAIAH,Independent,420,Telangana - Huzurnagar
1465,DESHAGANI SAMBASHIVA GOUD,Telangana Prajala Party,413,Telangana - Huzurnagar
1466,B. PADMA,Independent,260,Telangana - Huzurnagar
1467,MUDEM KOTIREDDY,Independent,210,Telangana - Huzurnagar
1468,BANDARU NAGARAJU,Independent,170,Telangana - Huzurnagar
1469,SAMULA SIVA REDDY,All India Forward Bloc,155,Telangana - Huzurnagar
1470,MALOTHU GOVIND NAIK,Aam Aadmi Party,135,Telangana - Huzurnagar
1471,None of the Above,None of the Above,1621,Telangana - Huzurnagar
1472,BOLLAM MALLAIAH YADAV,Telangana Rashtra Samithi,89115,Telangana - Kodad
1473,PADMAVATHI REDDY NALAMADA,Indian National Congress,88359,Telangana - Kodad
1474,ANJI YADAV,Independent,5240,Telangana - Kodad
1475,BURRI  SRIRAMULU,Communist Party of India  (Marxist),3381,Telangana - Kodad
1476,KUNDURU DEVENDER REDDY,Telangana Inti Party,1508,Telangana - Kodad
1477,JALLEPALLI ENKATESHWARLU,Bharatiya Janata Party,1485,Telangana - Kodad
1478,VELANGI RAJU ORSU,Bahujan Samaj Party,741,Telangana - Kodad
1479,PANDITI KRANTHI KUMAR,Independent,610,Telangana - Kodad
1480,SHAIK  MASTAN SAHEB,Independent,530,Telangana - Kodad
1481,GIDDE RAJESH,Independent,506,Telangana - Kodad
1482,PANDI PEDDA TIRUPATHAIAH,Independent,327,Telangana - Kodad
1483,AMBEDKAR DUNNA,Jai Swaraj Party,287,Telangana - Kodad
1484,PARYAVARANAM KOLLU LAKSHMINARAYANA,Independent,265,Telangana - Kodad
1485,DAIDA LINGAIAH,Independent,171,Telangana - Kodad
1486,GANGIREDDY KOTIREDDY,Independent,123,Telangana - Kodad
1487,None of the Above,None of the Above,1240,Telangana - Kodad
1488,GUNTAKANDLA JAGADISH REDDY,Telangana Rashtra Samithi,68650,Telangana - Suryapet
1489,DAMODAR REDDY RAM REDDY,Indian National Congress,62683,Telangana - Suryapet
1490,SANKINENI VENKATESWAR RAO,Bharatiya Janata Party,39240,Telangana - Suryapet
1491,DONGARI VENU,Independent,4871,Telangana - Suryapet
1492,PERUMALLA VENKANNA,Independent,1875,Telangana - Suryapet
1493,RAPARTHI SRINIVAS GOUD,Bahujana Left Party,684,Telangana - Suryapet
1494,TAGULLA JANARDHAN,Independent,625,Telangana - Suryapet
1495,BOLKA VENKANNA,Bahujan Samaj Party,524,Telangana - Suryapet
1496,BENJARAPU BIKSHAPATHI,Independent,424,Telangana - Suryapet
1497,MARRI NEHEMIAH,Independent,380,Telangana - Suryapet
1498,IBRAHIM SHAIK,Independent,362,Telangana - Suryapet
1499,SUNKARI LITHESH,Independent,319,Telangana - Suryapet
1500,RAMJI VANKUDOTH,Nationalist Congress Party,295,Telangana - Suryapet
1501,KIRAN VANGAPALLI,Republican Sena,261,Telangana - Suryapet
1502,SAMA VENKAT REDDY,Independent,235,Telangana - Suryapet
1503,PULIGILLA VEERAMALLU,Samajwadi Party,229,Telangana - Suryapet
1504,MUPPANI LINGA REDDY,Independent,228,Telangana - Suryapet
1505,SAIDAMMA YERRANAGULA,Jai Swaraj Party,221,Telangana - Suryapet
1506,AKKENAPALLI ESHWAR,Independent,196,Telangana - Suryapet
1507,SAIDULU DEVATH,Independent,190,Telangana - Suryapet
1508,LINGIDI VENKATESWARLU,Aam Aadmi Party,140,Telangana - Suryapet
1509,THALARI SATHEESH,Bahujana Raajyam Party (Phule Ambedkar),113,Telangana - Suryapet
1510,MARAM VENKAT REDDY,Independent,103,Telangana - Suryapet
1511,PALVAI VANAJA,India Praja Bandhu Party,84,Telangana - Suryapet
1512,RAMESH PALLETI,Independent,80,Telangana - Suryapet
1513,None of the Above,None of the Above,820,Telangana - Suryapet
1514,KANCHARLA BHUPAL REDDY,Telangana Rashtra Samithi,98792,Telangana - Nalgonda
1515,KOMATI REDDY VENKAT REDDY,Indian National Congress,75094,Telangana - Nalgonda
1516,POLISHETTY VENKATESHWARLU,Independent,2932,Telangana - Nalgonda
1517,SRIRAMOJU SHANMUKHA CHARY,Bharatiya Janata Party,1916,Telangana - Nalgonda
1518,MOHAMMAD MAJEED,Independent,1686,Telangana - Nalgonda
1519,AKKENEPALLY MEENAIAH,Bahujana Left Party,1146,Telangana - Nalgonda
1520,RUPANI SAIDULU,Independent,856,Telangana - Nalgonda
1521,SHASHIDHAR REDDY GANTLA,Independent,559,Telangana - Nalgonda
1522,BOLLA VENKATA MUDIRAJ (BVM),Independent,345,Telangana - Nalgonda
1523,KODIMALA SHIVAKUMAR,Pyramid Party of India,204,Telangana - Nalgonda
1524,S.K.EBRAHIM,Independent,177,Telangana - Nalgonda
1525,CHOLLETI PRABHAKAR,Independent,171,Telangana - Nalgonda
1526,PARVEEN,Independent,145,Telangana - Nalgonda
1527,KATTELA SHIVAKUMAR,Telangana Prajala Party,114,Telangana - Nalgonda
1528,KADIUM KRUPAKAR,Independent,87,Telangana - Nalgonda
1529,GULAM SUBHANI,Independent,61,Telangana - Nalgonda
1530,KONDA GANESH,Independent,57,Telangana - Nalgonda
1531,None of the Above,None of the Above,1276,Telangana - Nalgonda
1532,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,97239,Telangana - Munugode
1533,KOOSUKUNTLA PRABHAKAR REDDY,Telangana Rashtra Samithi,74687,Telangana - Munugode
1534,GANGIDI MANOHAR REDDY,Bharatiya Janata Party,12725,Telangana - Munugode
1535,MANGA VENKATESH KURUMA,Independent,3569,Telangana - Munugode
1536,CHILUVERU NAGARAJU,Samajwadi Forward Bloc,2279,Telangana - Munugode
1537,GOSHIKA KARUNAKAR,Bahujana Left Party,2080,Telangana - Munugode
1538,MALGA YADAIAH,Bahujan Samaj Party,738,Telangana - Munugode
1539,KAMBAMPATI SATYANARAYANA,Telangana Inti Party,688,Telangana - Munugode
1540,BHEEMAGANI MAHESHWAR GOUD,Independent,457,Telangana - Munugode
1541,PALVAI SRAVAN REDDY,Independent,325,Telangana - Munugode
1542,MANCHUKONDA NAGARAJU,Pyramid Party of India,226,Telangana - Munugode
1543,UDARI MALLESH,Independent,220,Telangana - Munugode
1544,BONGU VENKATESH GOUD,Social Justice Party of India,204,Telangana - Munugode
1545,NAKKA YADISHWAR,Independent,179,Telangana - Munugode
1546,EEDA BHASKAR,Independent,141,Telangana - Munugode
1547,None of the Above,None of the Above,3086,Telangana - Munugode
1548,PAILLA SHEKAR REDDY,Telangana Rashtra Samithi,85476,Telangana - Bhongir
1549,ANIL KUMAR REDDY KUMBAM,Indian National Congress,61413,Telangana - Bhongir
1550,JITTA BALAKRISHNA REDDY,Yuva Telangana Party,13427,Telangana - Bhongir
1551,POCHAMPALLY RAMANA RAO,Samajwadi Forward Bloc,3613,Telangana - Bhongir
1552,KALLURI MALLESHAM YADAV,Communist Party of India  (Marxist),1856,Telangana - Bhongir
1553,ALAKUNTLA YELLAIAH,Independent,1758,Telangana - Bhongir
1554,DEVARAKONDA HANUMANTHU,Independent,1305,Telangana - Bhongir
1555,BELLY KRISHNA,Bahujan Samaj Party,924,Telangana - Bhongir
1556,PATNAM KAMALA MANOHAR,Independent,616,Telangana - Bhongir
1557,GUNDALA LAXMINARAYANA GOUD,Independent,564,Telangana - Bhongir
1558,UPENDER GUPTA PABBA,Shiv Sena,225,Telangana - Bhongir
1559,MANCHALA MAHESHWAR,Telangana Labour Party,204,Telangana - Bhongir
1560,BHONGIR SRINIVAS NETHA,Samajwadi Party,197,Telangana - Bhongir
1561,NAGA RAJU GUPTA BEJUGAM,"Telangana Praja Samithi (Kishore, Rao and Kishan)",163,Telangana - Bhongir
1562,DHARAVATH GANESH NAYAK,Bahujan Mukti Party,143,Telangana - Bhongir
1563,None of the Above,None of the Above,1347,Telangana - Bhongir
1564,CHIRUMARTHI LINGAIAH,Indian National Congress,93699,Telangana - Nakrekal 
1565,VEMULA VEERESHAM,Telangana Rashtra Samithi,85440,Telangana - Nakrekal 
1566,DUBBA RAVI KUMAR,Samajwadi Forward Bloc,10383,Telangana - Nakrekal 
1567,JITTA NAGESH,Communist Party of India  (Marxist),4543,Telangana - Nakrekal 
