,Candidate,Party,Votes,Constituency
767,AJAY PRATAP SINGH,Independent,329,Madhya Pradesh - TIKAMGARH
768,BIRENDRA KUMAR BADGAIYAN,Aam Aadmi Party,305,Madhya Pradesh - TIKAMGARH
769,KACHHI NATHURAM,Jan Adhikar Party,302,Madhya Pradesh - TIKAMGARH
770,ASHARAM,Independent,267,Madhya Pradesh - TIKAMGARH
771,BHAGWAN DAS,Independent,264,Madhya Pradesh - TIKAMGARH
772,K. K. KHARE,Independent,234,Madhya Pradesh - TIKAMGARH
773,KHUSHIRAM KUSHWAHA,Independent,195,Madhya Pradesh - TIKAMGARH
774,AHIRWAR JHUNNILAL,Independent,178,Madhya Pradesh - TIKAMGARH
775,None of the Above,None of the Above,1405,Madhya Pradesh - TIKAMGARH
776,KHATIK HARISHANKAR,Bharatiya Janata Party,63315,Madhya Pradesh - JATARA
777,R.R. BANSAL,Mahan Dal,26600,Madhya Pradesh - JATARA
778,ANITA PRABHU DAYAL KHATIK,Samajwadi Party,21040,Madhya Pradesh - JATARA
779,DWARIKA PRASAD AHIRWAR,Bahujan Samaj Party,18349,Madhya Pradesh - JATARA
780,DR. VIKRAM CHOUDHARY,Loktantrik Janta Dal,1195,Madhya Pradesh - JATARA
781,AHIRWAR RAMDEEN,Aam Aadmi Party,1025,Madhya Pradesh - JATARA
782,HAR PRASAD AHIRWAR,Independent,1019,Madhya Pradesh - JATARA
783,AHIRWAR DINESH KUMAR,Independent,989,Madhya Pradesh - JATARA
784,KRISHAN KUMAR,Independent,885,Madhya Pradesh - JATARA
785,AHIRWAR RAJABAI KALICHARAN,Independent,879,Madhya Pradesh - JATARA
786,RAM SAHAY AHIRWAR,Independent,694,Madhya Pradesh - JATARA
787,SURENDRA,Independent,609,Madhya Pradesh - JATARA
788,None of the Above,None of the Above,2385,Madhya Pradesh - JATARA
789,BRAJENDRA SINGH RATHORE,Indian National Congress,52436,Madhya Pradesh - PRITHVIPUR
790,DR. SHISHUPAL YADAV,Samajwadi Party,44816,Madhya Pradesh - PRITHVIPUR
791,KUSHWAHA NANDRAM,Bahujan Samaj Party,30043,Madhya Pradesh - PRITHVIPUR
792,ABHAY AKHAND PRATAP SINGH YADAV,Bharatiya Janata Party,10391,Madhya Pradesh - PRITHVIPUR
793,MUKESH BHADORIYA,Independent,1418,Madhya Pradesh - PRITHVIPUR
794,BHAIYA LAL ADIWASI,Independent,1052,Madhya Pradesh - PRITHVIPUR
795,RAKESH KUMHAR,Independent,974,Madhya Pradesh - PRITHVIPUR
796,AYODHYA PRASAD (A.P.),Aam Aadmi Party,972,Madhya Pradesh - PRITHVIPUR
797,SHISHUPAL YADAV,Independent,768,Madhya Pradesh - PRITHVIPUR
798,KAMMOD PRASAD,Nirbal Indian Shoshit Hamara Aam Dal,734,Madhya Pradesh - PRITHVIPUR
799,AVDHESH PRATAP SINGH BUNDELA,Independent,715,Madhya Pradesh - PRITHVIPUR
800,VIJAY KUMAR GHOSH,Independent,543,Madhya Pradesh - PRITHVIPUR
801,ANIL SAHU,Independent,500,Madhya Pradesh - PRITHVIPUR
802,RAHUL SINGH GHOSH,Naya Bharat Party,483,Madhya Pradesh - PRITHVIPUR
803,NANDRAM KUSHWAHA,Independent,466,Madhya Pradesh - PRITHVIPUR
804,RAJENDRA KUMAR KUSHAWAHA,Independent,453,Madhya Pradesh - PRITHVIPUR
805,KEVAT PARBATA,Independent,421,Madhya Pradesh - PRITHVIPUR
806,ABHAY VERMA,Independent,388,Madhya Pradesh - PRITHVIPUR
807,KEWAT PYARELAL,Independent,378,Madhya Pradesh - PRITHVIPUR
808,None of the Above,None of the Above,359,Madhya Pradesh - PRITHVIPUR
809,ANIL JAIN,Bharatiya Janata Party,49738,Madhya Pradesh - NIWARI
810,MEERA DEEPAK YADAV,Samajwadi Party,40901,Madhya Pradesh - NIWARI
811,GANESH PRASAD KUSHWAHA,Bahujan Samaj Party,21444,Madhya Pradesh - NIWARI
812,"AHIR CAPTAIN SURENDRA SINGH ""BOXY""",Indian National Congress,12221,Madhya Pradesh - NIWARI
813,RAMESH NIRALA,Independent,2764,Madhya Pradesh - NIWARI
814,RAMPRASAD,Independent,1389,Madhya Pradesh - NIWARI
815,ABHISHEK SHARAN YADAV,Independent,911,Madhya Pradesh - NIWARI
816,SANTOSH YADAV,Independent,868,Madhya Pradesh - NIWARI
817,AHIRWAR DEVENDRA KUMAR,Independent,730,Madhya Pradesh - NIWARI
818,MAHESH KUMAR RAJU KHARE,Sanjhi Virasat Party,637,Madhya Pradesh - NIWARI
819,BHAGBAN DAS KUSHWAHA,Jan Adhikar Party,634,Madhya Pradesh - NIWARI
820,HINDU SATYANATH,Independent,497,Madhya Pradesh - NIWARI
821,PAWAN,Independent,475,Madhya Pradesh - NIWARI
822,ANIL TIWARI (PUTRIKHERA),Bharatiya Prajashakti Party,472,Madhya Pradesh - NIWARI
823,DHEERENDRA PRATAP SINGH (RAJEEV),Independent,417,Madhya Pradesh - NIWARI
824,ACHCHHE LAL,Aajad Bharat Party (Democratic),335,Madhya Pradesh - NIWARI
825,BHAGBAN DAS KORI,Pragatisheel Manav Samaj Party,303,Madhya Pradesh - NIWARI
826,GOPAL SINGH THAKUR,Aam Aadmi Party,282,Madhya Pradesh - NIWARI
827,None of the Above,None of the Above,456,Madhya Pradesh - NIWARI
828,RAHUL SINGH LODHI,Bharatiya Janata Party,63066,Madhya Pradesh - KHARGAPUR
829,CHANDA-SURENDRA SINGH GOUR,Indian National Congress,51401,Madhya Pradesh - KHARGAPUR
830,AJAY YADAV,Bahujan Samaj Party,15366,Madhya Pradesh - KHARGAPUR
831,PYARE LAL SONI,Independent,13258,Madhya Pradesh - KHARGAPUR
832,ASHISH RAIKWAR,Sapaks Party,4009,Madhya Pradesh - KHARGAPUR
833,PANDIT RAMKUMAR PATHAK,Bharatiya Prajashakti Party,1679,Madhya Pradesh - KHARGAPUR
834,MUKESH,Independent,1644,Madhya Pradesh - KHARGAPUR
835,JAYRAM RAJAK,Jan Adhikar Party,1356,Madhya Pradesh - KHARGAPUR
836,MANOJ SHARMA,Independent,1243,Madhya Pradesh - KHARGAPUR
837,MAYA SINGH LODHI,Independent,969,Madhya Pradesh - KHARGAPUR
838,BALWANT BALMIKI,Independent,914,Madhya Pradesh - KHARGAPUR
839,VASEEM AKRAM,Independent,763,Madhya Pradesh - KHARGAPUR
840,BALDAU YADAV,Independent,743,Madhya Pradesh - KHARGAPUR
841,LAKHAN SINGH,Independent,552,Madhya Pradesh - KHARGAPUR
842,PRAMOD VYAS,Independent,495,Madhya Pradesh - KHARGAPUR
843,KISHORI,Independent,451,Madhya Pradesh - KHARGAPUR
844,IMRAN BEG,Independent,392,Madhya Pradesh - KHARGAPUR
845,PRIYANKA RAJA BUNDELA,Aam Aadmi Party,308,Madhya Pradesh - KHARGAPUR
846,None of the Above,None of the Above,1092,Madhya Pradesh - KHARGAPUR
847,NEERAJ VINOD DIXIT,Indian National Congress,52461,Madhya Pradesh - MAHARAJPUR
848,MANAVENDRA SINGH,Bharatiya Janata Party,38456,Madhya Pradesh - MAHARAJPUR
849,RAJESH MAHTON,Bahujan Samaj Party,27902,Madhya Pradesh - MAHARAJPUR
850,MAHESH MATOUL,Rashtriya Samanta Dal,9505,Madhya Pradesh - MAHARAJPUR
851,AHEER PREETAM BHUMMAN YADAV,Samajwadi Party,5440,Madhya Pradesh - MAHARAJPUR
852,ENG. PANKAJ AHIRWAR,Independent,1771,Madhya Pradesh - MAHARAJPUR
853,UMASHANKAR KUSHWAHA,Shiv Sena,1130,Madhya Pradesh - MAHARAJPUR
854,TIWARI RAJA BHAIYA,Independent,887,Madhya Pradesh - MAHARAJPUR
855,PUSHPANDRA AGRWAL,Independent,879,Madhya Pradesh - MAHARAJPUR
856,GANAPAT SINGH,Independent,685,Madhya Pradesh - MAHARAJPUR
857,RAKESH KUMAR SAHU,Sanjhi Virasat Party,628,Madhya Pradesh - MAHARAJPUR
858,ANWARI KHATUN,Aam Aadmi Party,607,Madhya Pradesh - MAHARAJPUR
859,GAURAV SHARMA LATORIYA,Sapaks Party,582,Madhya Pradesh - MAHARAJPUR
860,ABDUL HAMID,Independent,542,Madhya Pradesh - MAHARAJPUR
861,CHEDILAL,Independent,508,Madhya Pradesh - MAHARAJPUR
862,PURASHOTAM NAYAK,Bundelkhand Kranti Dal,439,Madhya Pradesh - MAHARAJPUR
863,None of the Above,None of the Above,1191,Madhya Pradesh - MAHARAJPUR
864,RAJESH KUMAR PRAJAPATI,Bharatiya Janata Party,41227,Madhya Pradesh - CHANDLA
865,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,40050,Madhya Pradesh - CHANDLA
866,AHIRWAR- PUSHPENDRA- KUMAR,Bahujan Samaj Party,25739,Madhya Pradesh - CHANDLA
867,ANITYA SINGH,Samajwadi Party,15994,Madhya Pradesh - CHANDLA
868,BHAVANEEDEEN,Independent,1447,Madhya Pradesh - CHANDLA
869,AHIRWAR RAJKUMAR,Independent,1293,Madhya Pradesh - CHANDLA
870,AHIRWAR SANJAY KUMAR,Apna Dal (Soneylal),1117,Madhya Pradesh - CHANDLA
871,JYOTIVRAV,Independent,1022,Madhya Pradesh - CHANDLA
872,KAMTA PRASAD BANSAL,Bhartiya Panchyat Party,645,Madhya Pradesh - CHANDLA
873,SHRIRAM NAGAR,Sapaks Party,563,Madhya Pradesh - CHANDLA
874,MOTILAL AHIRWAR,Madhya Pradesh Jan Vikas Party,515,Madhya Pradesh - CHANDLA
875,None of the Above,None of the Above,2695,Madhya Pradesh - CHANDLA
876,VIKRAM SINGH (NATI RAJA),Indian National Congress,40362,Madhya Pradesh - RAJNAGAR
877,ARVIND PATERIYA,Bharatiya Janata Party,39630,Madhya Pradesh - RAJNAGAR
878,VINOD KUMAR PATEL,Bahujan Samaj Party,28972,Madhya Pradesh - RAJNAGAR
879,"CHATURVEDI NITIN - ""BANTI BHAIYA""",Samajwadi Party,23783,Madhya Pradesh - RAJNAGAR
880,RAHUL SUREHA,Independent,1841,Madhya Pradesh - RAJNAGAR
881,ADVOCATE KULDEEP SINGH,Sapaks Party,1145,Madhya Pradesh - RAJNAGAR
882,MUHAMMAD SATTAR,Independent,1140,Madhya Pradesh - RAJNAGAR
883,IMRAN,Independent,1025,Madhya Pradesh - RAJNAGAR
884,SURAJ PATEL,Apna Dal (Soneylal),808,Madhya Pradesh - RAJNAGAR
885,AHIRWAR-MATADEEN,Independent,780,Madhya Pradesh - RAJNAGAR
886,GAUTAM PRAVIN URF MONU GAUTAM,Jan Adhikar Party,695,Madhya Pradesh - RAJNAGAR
887,BABADEEN AHIRWAR,Independent,615,Madhya Pradesh - RAJNAGAR
888,IKLAKH URF RAJJU SARDAR,Bhartiya Panchyat Party,581,Madhya Pradesh - RAJNAGAR
889,None of the Above,None of the Above,2485,Madhya Pradesh - RAJNAGAR
890,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress,65774,Madhya Pradesh - CHHATARPUR
891,ARCHNA GUDDU SINGH,Bharatiya Janata Party,62279,Madhya Pradesh - CHHATARPUR
892,ABDUL SAMEER (BHAIYA THEKEDAR),Bahujan Samaj Party,9161,Madhya Pradesh - CHHATARPUR
893,PANDIT VINOD KUMAR DUBEY,Independent,1446,Madhya Pradesh - CHHATARPUR
894,AGRAWAL VINOD,Sapaks Party,1180,Madhya Pradesh - CHHATARPUR
895,GAYATRI KUSHWAHA,Jan Adhikar Party,1144,Madhya Pradesh - CHHATARPUR
896,RAKESH PATEL,Independent,976,Madhya Pradesh - CHHATARPUR
897,RAJU RAIKWAR(PAN BALE),Independent,848,Madhya Pradesh - CHHATARPUR
898,MOHAN SINGH,Samajwadi Party,640,Madhya Pradesh - CHHATARPUR
899,MOHAMMAD NAWAB KHAN,Independent,443,Madhya Pradesh - CHHATARPUR
900,AHRWAR HARISHCHANDRA,Independent,426,Madhya Pradesh - CHHATARPUR
901,ARCHANA SINGH W/O BALBEER SINGH,Independent,392,Madhya Pradesh - CHHATARPUR
902,MANJU ASHUTOSH DWIVEDI,Bhartiya Shakti Chetna Party,327,Madhya Pradesh - CHHATARPUR
903,DEEPA PATEL,Apna Dal (Soneylal),313,Madhya Pradesh - CHHATARPUR
904,NEHA SINGH,Independent,303,Madhya Pradesh - CHHATARPUR
905,ARCHANA SINGH W/O RAJENDRA SINGH,Independent,272,Madhya Pradesh - CHHATARPUR
906,None of the Above,None of the Above,762,Madhya Pradesh - CHHATARPUR
907,RAJESH KUMAR (BABLU BHAIYA),Samajwadi Party,67623,Madhya Pradesh - BIJAWAR
908,GUDDAN BHAIYA PUSHPENDRA NATH PATHAK,Bharatiya Janata Party,30909,Madhya Pradesh - BIJAWAR
909,SHANKAR PRATAP SINGH MUNNA RAJA,Indian National Congress,23726,Madhya Pradesh - BIJAWAR
910,ANUPAMA YADAV,Bahujan Samaj Party,9318,Madhya Pradesh - BIJAWAR
911,AMIT BHATNAGAR,Aam Aadmi Party,1943,Madhya Pradesh - BIJAWAR
912,DEEPAK BHAIYA,Independent,1902,Madhya Pradesh - BIJAWAR
913,RAM PRASAD PATEL,Akhil Bhartiya Aarakshit Samaj Party,1254,Madhya Pradesh - BIJAWAR
914,CHAMELI ADIWASI,Independent,1123,Madhya Pradesh - BIJAWAR
915,AHIRWAR DESHRAJ,Independent,958,Madhya Pradesh - BIJAWAR
916,MANOJ AHIRWAR,Naya Bharat Party,919,Madhya Pradesh - BIJAWAR
917,TARIK BABU,Independent,877,Madhya Pradesh - BIJAWAR
918,KOUSHAL KISHOR,Independent,607,Madhya Pradesh - BIJAWAR
919,LEELA DHAR RAJPOOT,Sanjhi Virasat Party,527,Madhya Pradesh - BIJAWAR
920,RAJESH,Independent,487,Madhya Pradesh - BIJAWAR
921,AWADH BIHARI CHORACIA,Independent,457,Madhya Pradesh - BIJAWAR
922,PRASHANT SHARMA,Sapaks Party,441,Madhya Pradesh - BIJAWAR
923,VEER SINGH,Independent,417,Madhya Pradesh - BIJAWAR
924,PARVATI PATEL,Jan Adhikar Party,392,Madhya Pradesh - BIJAWAR
925,None of the Above,None of the Above,663,Madhya Pradesh - BIJAWAR
926,KUNWAR PRADYUMNA SINGH LODHI (MUNNA BHAIYA),Indian National Congress,67184,Madhya Pradesh - MALHARA
927,LALITA YADAV,Bharatiya Janata Party,51405,Madhya Pradesh - MALHARA
928,ENG. HARI KRISHNA,Bahujan Samaj Party,14922,Madhya Pradesh - MALHARA
929,SUNIL KAPOOR CHANDRA GHUWARA,Independent,2685,Madhya Pradesh - MALHARA
930,LAXMAN SINGH THAKUR,Independent,2187,Madhya Pradesh - MALHARA
931,RAJA RAM VISHVAKARMA SENDAPA,Communist Party of India,1902,Madhya Pradesh - MALHARA
932,JAGDISH SINGH KISAN NETA,Aam Aadmi Party,1308,Madhya Pradesh - MALHARA
933,MANOJ KUMAR,Independent,995,Madhya Pradesh - MALHARA
934,KRISHNA RAJPUT,Pichhara Samaj Party United,937,Madhya Pradesh - MALHARA
935,DHARMENDRA KUMAR SAHU,Independent,838,Madhya Pradesh - MALHARA
936,RAHUL KUMAR RAI,Independent,665,Madhya Pradesh - MALHARA
937,MAHESH SONI,Bhartiya Shakti Chetna Party,631,Madhya Pradesh - MALHARA
938,TILAK SINGH LODHI,Independent,443,Madhya Pradesh - MALHARA
939,ACHARYA JINENDRA SINGHAI,Independent,413,Madhya Pradesh - MALHARA
940,ENGR. SANJEEV KUMAR,Bundelkhand Mukti Morcha,412,Madhya Pradesh - MALHARA
941,UTTAM LAL,Independent,384,Madhya Pradesh - MALHARA
942,SANDHYA RAJA,Independent,256,Madhya Pradesh - MALHARA
943,AHIRWAR RAJU,Independent,252,Madhya Pradesh - MALHARA
944,None of the Above,None of the Above,963,Madhya Pradesh - MALHARA
945,RAMBAI GOVIND SINGH,Bahujan Samaj Party,39267,Madhya Pradesh - PATHARIYA 
946,LAKHAN PATEL,Bharatiya Janata Party,37062,Madhya Pradesh - PATHARIYA 
947,BRAJENDRA SINGH,Independent,27074,Madhya Pradesh - PATHARIYA 
948,GOURAV PATEL,Indian National Congress,25438,Madhya Pradesh - PATHARIYA 
949,"DR. RAMKRISHNA KUSMARIA ""BABAJI""",Independent,8755,Madhya Pradesh - PATHARIYA 
950,ANURAG VARDHAN SINGH HAZARI,Samajwadi Party,7827,Madhya Pradesh - PATHARIYA 
951,CHOTI BAHU LODHI,Bhartiya Shakti Chetna Party,3744,Madhya Pradesh - PATHARIYA 
952,BHUSHAN SINGH,Independent,2577,Madhya Pradesh - PATHARIYA 
953,"CHANDRA MOHAN GURU ""CHANDA BHAIYA""",Aam Aadmi Party,2279,Madhya Pradesh - PATHARIYA 
954,GOOPI KUSHWAHA PATEL,Pichhara Samaj Party United,1430,Madhya Pradesh - PATHARIYA 
955,RAJESH PATEL,Independent,1250,Madhya Pradesh - PATHARIYA 
956,RAJKISHOR PATEL,Independent,1180,Madhya Pradesh - PATHARIYA 
957,BHAGAT SINGH LODHI,Independent,876,Madhya Pradesh - PATHARIYA 
958,DEEPENDRA SINGH (GOLU BHAIA),Independent,860,Madhya Pradesh - PATHARIYA 
959,CHOORAMAN AHIRWAR,Independent,757,Madhya Pradesh - PATHARIYA 
960,GANESH PRASAD PATEL,Gondvana Gantantra Party,718,Madhya Pradesh - PATHARIYA 
961,GANESH AHIRWAR,Independent,617,Madhya Pradesh - PATHARIYA 
962,LAKHAN GOURAV KUSMARIA,Independent,590,Madhya Pradesh - PATHARIYA 
963,RAMKUMAR DUBEY,Independent,565,Madhya Pradesh - PATHARIYA 
964,RAMBHAI ROSHAN PATEL,Independent,517,Madhya Pradesh - PATHARIYA 
965,LAKHAN BHAIYA,Independent,202,Madhya Pradesh - PATHARIYA 
966,None of the Above,None of the Above,468,Madhya Pradesh - PATHARIYA 
967,RAHUL SINGH,Indian National Congress,78997,Madhya Pradesh - DAMOH 
968,JAYANT MALAIYA,Bharatiya Janata Party,78199,Madhya Pradesh - DAMOH 
969,KOMAL AHIRWAR,Bahujan Samaj Party,5460,Madhya Pradesh - DAMOH 
970,AARTI SINGH,Bhartiya Shakti Chetna Party,3443,Madhya Pradesh - DAMOH 
971,RAHUL SINGH,Independent,1755,Madhya Pradesh - DAMOH 
972,RAHUL YADAV,Independent,1570,Madhya Pradesh - DAMOH 
973,RIHANA SABBO BUA,Independent,1283,Madhya Pradesh - DAMOH 
974,DR. RAMKRISHNA KUSMARIA BABA JI,Independent,1133,Madhya Pradesh - DAMOH 
975,MANOJ DEVALIYA,Sapaks Party,774,Madhya Pradesh - DAMOH 
976,RAHUL BHAIYA,Independent,376,Madhya Pradesh - DAMOH 
977,JUJAR ALI,Gondvana Gantantra Party,366,Madhya Pradesh - DAMOH 
978,BHAGWAN DAS,Independent,282,Madhya Pradesh - DAMOH 
979,RAMRATAN PATEL,Rashtriya Lok Samta Party,246,Madhya Pradesh - DAMOH 
980,BALRAM SINGH,Independent,189,Madhya Pradesh - DAMOH 
981,None of the Above,None of the Above,1299,Madhya Pradesh - DAMOH 
982,DHARMENDRA BHAV SINGH LODHI,Bharatiya Janata Party,48901,Madhya Pradesh - JABERA 
983,PRATAP SINGH,Indian National Congress,45416,Madhya Pradesh - JABERA 
984,RAGHVENDRA SINGH (RISHI BHAIYA),Independent,21751,Madhya Pradesh - JABERA 
985,ADITYA RATNESH SOLOMON,Independent,13015,Madhya Pradesh - JABERA 
986,ARVIND PRATAP SINGH JUDEV,Gondvana Gantantra Party,10490,Madhya Pradesh - JABERA 
987,DELAN SINGH DHURVE,Bahujan Samaj Party,10355,Madhya Pradesh - JABERA 
988,"ASHISH SHUKLA ""RAJU BHAIYA""",Bhartiya Shakti Chetna Party,8444,Madhya Pradesh - JABERA 
989,UTTAM BHAIYA,Independent,3039,Madhya Pradesh - JABERA 
990,BASANT RAI,Aam Aadmi Party,1475,Madhya Pradesh - JABERA 
991,DEVI SINGH/MAKHUN SINGH,Independent,1337,Madhya Pradesh - JABERA 
992,KESHAV PRASAD,Independent,1042,Madhya Pradesh - JABERA 
993,SEETARAM SINGH KULASTE,Bahujan Mukti Party,481,Madhya Pradesh - JABERA 
994,VEERANDRA DUBEY,Sarvadharam Party (Madhya Pradesh),328,Madhya Pradesh - JABERA 
995,None of the Above,None of the Above,2264,Madhya Pradesh - JABERA 
996,PURUSOTTAM/RAMKALI TANTUWAY HATTA,Bharatiya Janata Party,76607,Madhya Pradesh - HATTA 
997,HARISHANKAR CHOUDHRI,Indian National Congress,56702,Madhya Pradesh - HATTA 
998,PRADEEP KHATIK,Independent,10011,Madhya Pradesh - HATTA 
999,OMVATI ATHYA,Bhartiya Shakti Chetna Party,4192,Madhya Pradesh - HATTA 
1000,ROSHNI AHIRWAR(CHANDRAKAR),Bahujan Samaj Party,4047,Madhya Pradesh - HATTA 
1001,AMOL CHOUDHRY,Rashtriya Lok Samta Party,2109,Madhya Pradesh - HATTA 
1002,MUNNALAL KORI,Pichhara Samaj Party United,1264,Madhya Pradesh - HATTA 
1003,None of the Above,None of the Above,3327,Madhya Pradesh - HATTA 
1004,PRAHLAD LODHI,Bharatiya Janata Party,79647,Madhya Pradesh - PAWAI
1005,PANDIT MUKESH NAYAK,Indian National Congress,55967,Madhya Pradesh - PAWAI
1006,BHUWAN VIKRAM SINGH (KESHU BHAIYA RAJA),Samajwadi Party,22384,Madhya Pradesh - PAWAI
1007,SITA RAM PATEL ADVOCATE,Bahujan Samaj Party,14381,Madhya Pradesh - PAWAI
1008,MAHIPAL SINGH,Gondvana Gantantra Party,9913,Madhya Pradesh - PAWAI
1009,ANIL TIWARI,Aam Aadmi Party,3846,Madhya Pradesh - PAWAI
1010,MANSUKH LAL,Independent,2275,Madhya Pradesh - PAWAI
1011,P. MUKESH,Independent,1863,Madhya Pradesh - PAWAI
1012,PRAKASH LODHI,Independent,1516,Madhya Pradesh - PAWAI
1013,RAJU PRASAD LODHI,Bhartiya Shakti Chetna Party,1243,Madhya Pradesh - PAWAI
1014,KAMLESH KUMAR GUPTA,Independent,1054,Madhya Pradesh - PAWAI
1015,BALMAN KUSHWAHA,Rashtriya Lok Samta Party,805,Madhya Pradesh - PAWAI
1016,KULDEEP TIWARI,Shiv Sena,792,Madhya Pradesh - PAWAI
1017,GANGARAM KUSHWAHA,Jan Adhikar Party,481,Madhya Pradesh - PAWAI
1018,None of the Above,None of the Above,3789,Madhya Pradesh - PAWAI
1019,SHIVDAYAL BAGRI,Indian National Congress,57658,Madhya Pradesh - GUNNOUR
1020,RAJESH KUMAR VERMA,Bharatiya Janata Party,55674,Madhya Pradesh - GUNNOUR
1021,JEEVANLAL SIDDHARTH,Bahujan Samaj Party,32793,Madhya Pradesh - GUNNOUR
1022,KHILAWAN PRASAD URF KHILLU,Sapaks Party,3700,Madhya Pradesh - GUNNOUR
1023,None of the Above,None of the Above,3734,Madhya Pradesh - GUNNOUR
1024,BRIJENDRA PRATAP SINGH,Bharatiya Janata Party,68359,Madhya Pradesh - PANNA 
1025,"SHIVJEET SINGH ""BHAIYA RAJA""",Indian National Congress,47651,Madhya Pradesh - PANNA 
1026,ANUPAMA CHARAN SINGH YADAV,Bahujan Samaj Party,22818,Madhya Pradesh - PANNA 
1027,LODHI MAHENDRA PAL VERMA,Jan Adhikar Party,10973,Madhya Pradesh - PANNA 
1028,PAHALWAN DASRATH SINGH YADAV,Samajwadi Party,3291,Madhya Pradesh - PANNA 
1029,RAM BHAGAT PATEL,Independent,3253,Madhya Pradesh - PANNA 
1030,SHALIGRAM PANDEY,Sapaks Party,1743,Madhya Pradesh - PANNA 
1031,RAM BIHARI GOSWAMI PATRKAR,Independent,1734,Madhya Pradesh - PANNA 
1032,UDAYA AATMANAND JI,Independent,1590,Madhya Pradesh - PANNA 
1033,PRAMOD KUMAR SEN,Independent,1452,Madhya Pradesh - PANNA 
1034,ADVOCATE PRAMOD KUMAR SINGH,Independent,1049,Madhya Pradesh - PANNA 
1035,NEELAM W/O KAMLESH KEWAT,Rashtriya mahan Gantantra Party,933,Madhya Pradesh - PANNA 
1036,IKRAM,Independent,879,Madhya Pradesh - PANNA 
1037,VISHNU,Independent,728,Madhya Pradesh - PANNA 
1038,LOKPAL SINGH,Independent,640,Madhya Pradesh - PANNA 
1039,SADHU SINGH,Independent,613,Madhya Pradesh - PANNA 
1040,ANKIT RAI,Independent,576,Madhya Pradesh - PANNA 
1041,PUSHPENDARA PAYASI,Brihattar Bharat Prajatantra Sewa Party,520,Madhya Pradesh - PANNA 
1042,PARAMLAL AHIRWAR,Aam Aadmi Party,507,Madhya Pradesh - PANNA 
1043,None of the Above,None of the Above,680,Madhya Pradesh - PANNA 
1044,NEELANSHU CHATURVEDI,Indian National Congress,58465,Madhya Pradesh - CHITRAKOOT
1045,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,48267,Madhya Pradesh - CHITRAKOOT
1046,RAVENDRA SINGH PATWARI,Bahujan Samaj Party,24010,Madhya Pradesh - CHITRAKOOT
1047,BRIJESH PRATAP SINGH,Independent,1791,Madhya Pradesh - CHITRAKOOT
1048,ABHAY LAL YADAV,Independent,1339,Madhya Pradesh - CHITRAKOOT
1049,AJAY URF GOLU GARG BARAUNDHA,Independent,1098,Madhya Pradesh - CHITRAKOOT
1050,AWADH BIHARI MISHRA,Independent,1064,Madhya Pradesh - CHITRAKOOT
1051,BHAI  PUSHPRAJ  KUSHAWAHA,Jan Adhikar Party,887,Madhya Pradesh - CHITRAKOOT
1052,RAJKUMARI MISHRA (MOTI LAL MISHRA ),Independent,881,Madhya Pradesh - CHITRAKOOT
1053,RAJARAM SINGH GOND,All India Forward Bloc,832,Madhya Pradesh - CHITRAKOOT
1054,VIDHYA SHANKAR,Sapaks Party,511,Madhya Pradesh - CHITRAKOOT
1055,RAMDEEN SATNAMI,Independent,443,Madhya Pradesh - CHITRAKOOT
1056,VISHWANATH GUPTA,Sarva Samaj Kalyan Party,432,Madhya Pradesh - CHITRAKOOT
1057,RAMA BHAIYA,Rashtriya mahan Gantantra Party,388,Madhya Pradesh - CHITRAKOOT
1058,RAMCHANDRA,Independent,385,Madhya Pradesh - CHITRAKOOT
1059,RAJVANT SINGH (RAJU),Aam Aadmi Party,374,Madhya Pradesh - CHITRAKOOT
1060,SHRIPAL PAL,Independent,367,Madhya Pradesh - CHITRAKOOT
1061,BIPIN KUMAR PANDEY,Bharatiya Jan Morcha Party,365,Madhya Pradesh - CHITRAKOOT
1062,RAJ BAHADUR,Peoples Party of India (Democratic),325,Madhya Pradesh - CHITRAKOOT
1063,MANORAJ DWIVEDI,Janata Congress,274,Madhya Pradesh - CHITRAKOOT
1064,None of the Above,None of the Above,449,Madhya Pradesh - CHITRAKOOT
1065,JUGUL KISHOR BAGRI,Bharatiya Janata Party,65910,Madhya Pradesh - RAIGAON
1066,KALPANA VERMA,Indian National Congress,48489,Madhya Pradesh - RAIGAON
1067,USHA CHAUDHARY,Bahujan Samaj Party,16677,Madhya Pradesh - RAIGAON
1068,DEVRAJ AHIRWAR,Independent,2319,Madhya Pradesh - RAIGAON
1069,DR. RAJENDRA KUMAR,Independent,1687,Madhya Pradesh - RAIGAON
1070,UPENDRA KUMAR DAHAYAT,Aam Aadmi Party,1578,Madhya Pradesh - RAIGAON
1071,SAVITRI ARJUN SINGH,Independent,1503,Madhya Pradesh - RAIGAON
1072,DHARBENDRA RAM NARESH CHAUDHARY,Independent,1416,Madhya Pradesh - RAIGAON
1073,BIMALA BAGRI - DHIRENDRA SINGH DHIRU,Sapaks Party,1181,Madhya Pradesh - RAIGAON
1074,ADVOCATE RAJ BAHADUR BAGRI,Independent,1163,Madhya Pradesh - RAIGAON
1075,AVINASH KUMAR (JEETU),Independent,657,Madhya Pradesh - RAIGAON
