,Candidate,Party,Votes,Constituency
2097,FATEH SINGH,Loktantrik Janta Dal,2281,Rajasthan - Kushalgarh 
2098,NARESH,Independent,1709,Rajasthan - Kushalgarh 
2099,ASHOK,Independent,1616,Rajasthan - Kushalgarh 
2100,None of the Above,None of the Above,11002,Rajasthan - Kushalgarh 
2101,ARJUN LAL JINGAR,Bharatiya Janata Party,81470,Rajasthan - Kapasan
2102,ANANDI RAM,Indian National Congress,74468,Rajasthan - Kapasan
2103,SHANTI LAL,Rashtriya Loktantrik Party,27464,Rajasthan - Kapasan
2104,CHUNNI LAL,Bahujan Samaj Party,1833,Rajasthan - Kapasan
2105,DEVI LAL,Independent,1706,Rajasthan - Kapasan
2106,SANTOSH KUMAR,Bharatiya Yuva Shakti,1349,Rajasthan - Kapasan
2107,MADU,Aam Aadmi Party,698,Rajasthan - Kapasan
2108,BADRI LAL,Shiv Sena,613,Rajasthan - Kapasan
2109,SURESH CHANDRA,Communist Party of India  (Marxist),586,Rajasthan - Kapasan
2110,PANNALAL,Janta Sena Rajasthan,395,Rajasthan - Kapasan
2111,None of the Above,None of the Above,3329,Rajasthan - Kapasan
2112,BIDHURI RAJENDRA SINGH,Indian National Congress,99259,Rajasthan - Begun
2113,DR. SURESH DHAKER,Bharatiya Janata Party,97598,Rajasthan - Begun
2114,GOPALLAL BHIL,Independent,10919,Rajasthan - Begun
2115,RAMESHVAR LAL BAIRVA,Bahujan Samaj Party,2050,Rajasthan - Begun
2116,GOPAL LAL GURJAR,Lok Jan Shakti Party,1497,Rajasthan - Begun
2117,LAL SINGH CHOUHAN,Janta Sena Rajasthan,1426,Rajasthan - Begun
2118,DEVI LAL JANGAM,Aam Aadmi Party,551,Rajasthan - Begun
2119,PRABHU LAL GURJAR,Bharatiya Yuva Shakti,479,Rajasthan - Begun
2120,None of the Above,None of the Above,3165,Rajasthan - Begun
2121,CHANDRABHAN SINGH AAKYA,Bharatiya Janata Party,106563,Rajasthan - Chittorgarh
2122,SURENDRA SINGH JADAWAT,Indian National Congress,82669,Rajasthan - Chittorgarh
2123,MANGI LAL BAIRWA,Communist Party of India,2281,Rajasthan - Chittorgarh
2124,ALAUDDIN,Bahujan Samaj Party,1730,Rajasthan - Chittorgarh
2125,GOPAL SINGH RATHORE,Aam Aadmi Party,1574,Rajasthan - Chittorgarh
2126,VISHNU SEN,Independent,1284,Rajasthan - Chittorgarh
2127,JABBAR KHAN,Independent,909,Rajasthan - Chittorgarh
2128,FARUK HUSAIN,Independent,493,Rajasthan - Chittorgarh
2129,None of the Above,None of the Above,2012,Rajasthan - Chittorgarh
2130,ANJANA UDAILAL,Indian National Congress,110037,Rajasthan - Nimbahera
2131,SHRICHAND KRIPLANI,Bharatiya Janata Party,98129,Rajasthan - Nimbahera
2132,SHAKIR MIYAN,Independent,2635,Rajasthan - Nimbahera
2133,RAMESHCHANDRA KUMAWAT,Bahujan Samaj Party,1508,Rajasthan - Nimbahera
2134,ISHWAR PRATAP SINGH,Bharat Vahini Party,1059,Rajasthan - Nimbahera
2135,SAGARMAL,Independent,667,Rajasthan - Nimbahera
2136,GULABCHAND SAHLOT,Independent,371,Rajasthan - Nimbahera
2137,MEGHRAJ JAT,Rashtriya Loktantrik Party,282,Rajasthan - Nimbahera
2138,KANHAIYA LAL MALI,Maharana Kranti Party,177,Rajasthan - Nimbahera
2139,KANHAIYALAL MEGHWAL,Independent,151,Rajasthan - Nimbahera
2140,SATYANARAYAN SHARMA,Aam Aadmi Party,137,Rajasthan - Nimbahera
2141,MD. RAFIK,Lok Jan Shakti Party,130,Rajasthan - Nimbahera
2142,ER. RAM KUMAR CHAWALA,Bahujan Mukti Party,125,Rajasthan - Nimbahera
2143,None of the Above,None of the Above,3701,Rajasthan - Nimbahera
2144,LALIT KUMAR OSTWAL,Bharatiya Janata Party,97111,Rajasthan - Bari sadri 
2145,PRAKASH CHOUDHARY,Indian National Congress,88301,Rajasthan - Bari sadri 
2146,CHAMAN PAL SINGH,Bahujan Samaj Party,3704,Rajasthan - Bari sadri 
2147,MAHENDRA SINGH,Independent,2951,Rajasthan - Bari sadri 
2148,VINOD KUMAR BHOI,Independent,2181,Rajasthan - Bari sadri 
2149,DILIP KUMAR SONI,Anjuman Party,1901,Rajasthan - Bari sadri 
2150,GOVIND KUMAR TELI,Independent,646,Rajasthan - Bari sadri 
2151,DORAN KHAN,Indian New Congress Party,430,Rajasthan - Bari sadri 
2152,GULAB CHAND SEHLOT,Independent,313,Rajasthan - Bari sadri 
2153,RAMESH CHANDRA SETHIYA,United National Party,239,Rajasthan - Bari sadri 
2154,NEPAL SINGH RATHORE,Janta Sena Rajasthan,238,Rajasthan - Bari sadri 
2155,None of the Above,None of the Above,3563,Rajasthan - Bari sadri 
2156,RAMLAL,Indian National Congress,100625,Rajasthan - Pratapgarh 
2157,HEMANT,Bharatiya Janata Party,83945,Rajasthan - Pratapgarh 
2158,GANESH LAL,Bahujan Samaj Party,2378,Rajasthan - Pratapgarh 
2159,DHARAM CHAND,Bharatiya Yuva Shakti,1943,Rajasthan - Pratapgarh 
2160,NARAYAN LAL,Independent,1864,Rajasthan - Pratapgarh 
2161,JAGDISH CHANDRA MEENA,Independent,1259,Rajasthan - Pratapgarh 
2162,None of the Above,None of the Above,2665,Rajasthan - Pratapgarh 
2163,SUDARSHAN SINGH RAWAT,Indian National Congress,49355,Rajasthan - Bhim 
2164,HARI SINGH CHOUHAN (RAWAT),Bharatiya Janata Party,45641,Rajasthan - Bhim 
2165,AJAY SONI,Independent,35722,Rajasthan - Bhim 
2166,HARI SINGH S/O PANNA SINGH,Independent,1414,Rajasthan - Bhim 
2167,DEVI LAL NAGODA,Bahujan Samaj Party,1215,Rajasthan - Bhim 
2168,NAINA SINGH CHAUHAN ADVOCATE,Bharat Vahini Party,1071,Rajasthan - Bhim 
2169,HARI SINGH S/O SOHAN SINGH,Independent,964,Rajasthan - Bhim 
2170,KHEEMARAM SALVI,Independent,542,Rajasthan - Bhim 
2171,FATEH SINGH CHAUHAN,Aam Aadmi Party,528,Rajasthan - Bhim 
2172,LAXMAN LAL SALVI,Independent,519,Rajasthan - Bhim 
2173,YASHWANTSINGH,Independent,463,Rajasthan - Bhim 
2174,BALUSINGH RAWAT,Janata Dal  (United),417,Rajasthan - Bhim 
2175,BABU SINGH,Independent,309,Rajasthan - Bhim 
2176,None of the Above,None of the Above,1904,Rajasthan - Bhim 
2177,SURENDRA SINGH RATHORE,Bharatiya Janata Party,70803,Rajasthan - Kumbhalgarh
2178,GANESH SINGH,Indian National Congress,52360,Rajasthan - Kumbhalgarh
2179,NARSINGH BHIL,Independent,5652,Rajasthan - Kumbhalgarh
2180,NARAYAN LAL BALAI,Bahujan Samaj Party,2436,Rajasthan - Kumbhalgarh
2181,BHANWAR LAL GURJAR,Aam Aadmi Party,1688,Rajasthan - Kumbhalgarh
2182,MOHAN SINGH RAWAT,Independent,947,Rajasthan - Kumbhalgarh
2183,JAGDISH DAS,Independent,862,Rajasthan - Kumbhalgarh
2184,ROSHAN LAL BHIL,Bhartiya Tribal Party,622,Rajasthan - Kumbhalgarh
2185,GAJENDRA SINGH SISODIA,Independent,364,Rajasthan - Kumbhalgarh
2186,SHYAM PRASAD JAIN,Bharat Vahini Party,348,Rajasthan - Kumbhalgarh
2187,SATTU GURJAR,Bharatiya Yuva Shakti,211,Rajasthan - Kumbhalgarh
2188,None of the Above,None of the Above,3307,Rajasthan - Kumbhalgarh
2189,KIRAN MAHESHWARI,Bharatiya Janata Party,89709,Rajasthan - Rajsamand
2190,NARAYAN SINGH BHATI,Indian National Congress,65086,Rajasthan - Rajsamand
2191,HARISH SINGH THAKUR,Independent,1408,Rajasthan - Rajsamand
2192,LAXMAN LAL SANWARIYA,Bahujan Samaj Party,1355,Rajasthan - Rajsamand
2193,PANKAJ KUMAR VYAS,Rashtriya Loktantrik Party,703,Rajasthan - Rajsamand
2194,DINESH CHANDRA KUMAWAT,Independent,398,Rajasthan - Rajsamand
2195,JITENDRA KUMAR KHATIK,Independent,263,Rajasthan - Rajsamand
2196,MANOJ KUMAR,Shiv Sena,229,Rajasthan - Rajsamand
2197,SHAMBU PRAJAPAT,Bharatiya Jan Kranti Dal (Democratic),200,Rajasthan - Rajsamand
2198,PRAKASH CHANDRA JAIN,Aam Aadmi Party,199,Rajasthan - Rajsamand
2199,MUKESH KUMAR KUMAWAT,Bharat Vahini Party,153,Rajasthan - Rajsamand
2200,None of the Above,None of the Above,3109,Rajasthan - Rajsamand
2201,C. P. JOSHI,Indian National Congress,88384,Rajasthan - Nathdwara
2202,MAHESH PRATAP SINGH,Bharatiya Janata Party,71444,Rajasthan - Nathdwara
2203,LAXMI LAL MALI,Independent,2531,Rajasthan - Nathdwara
2204,BABU LAL SALVI,Bahujan Samaj Party,2235,Rajasthan - Nathdwara
2205,RAGHUNANDAN,Communist Party of India,2015,Rajasthan - Nathdwara
2206,SURYAPRAKASH,Independent,934,Rajasthan - Nathdwara
2207,JITENDRA KUMAR KHATIK,Independent,587,Rajasthan - Nathdwara
2208,ARJUN LAL NAYAK,Bharatiya Yuva Shakti,267,Rajasthan - Nathdwara
2209,VIKAS SANADHYA,Manvadhikar National Party,192,Rajasthan - Nathdwara
2210,PRAKASH BHARTI,Aam Aadmi Party,187,Rajasthan - Nathdwara
2211,MANOJ MENARIYA,Bharatiya Jan Kranti Dal (Democratic),164,Rajasthan - Nathdwara
2212,MAHIPAL SINGH,Bharat Vahini Party,148,Rajasthan - Nathdwara
2213,None of the Above,None of the Above,4248,Rajasthan - Nathdwara
2214,JABBAR SINGH SANKHALA,Bharatiya Janata Party,70249,Rajasthan - Asind
2215,MANISH MEWARA,Indian National Congress,70095,Rajasthan - Asind
2216,MANSUKH SINGH,Rashtriya Loktantrik Party,42070,Rajasthan - Asind
2217,DHANNA LAL SALVI,Bahujan Samaj Party,6092,Rajasthan - Asind
2218,RAM KUMAR MALI,Bharatiya Yuva Shakti,2597,Rajasthan - Asind
2219,JAGDISH,Aam Aadmi Party,2001,Rajasthan - Asind
2220,DEVI SINGH,Rashtriya Krantikari Samajwadi Party,880,Rajasthan - Asind
2221,RADHESHYAM VAISHNAV,Ambedkar Samaj Party,853,Rajasthan - Asind
2222,MAHVEER PRASAD,Independent,792,Rajasthan - Asind
2223,JAGDISH SHARMA,Bharat Vahini Party,664,Rajasthan - Asind
2224,None of the Above,None of the Above,2943,Rajasthan - Asind
2225,RAMLAL JAT,Indian National Congress,59645,Rajasthan - Mandal
2226,PRADHYUMAN SINGH (HAPPY BANNA),Independent,51580,Rajasthan - Mandal
2227,KALULAL GURJAR,Bharatiya Janata Party,47726,Rajasthan - Mandal
2228,UDAILAL BHADANA,Independent,23147,Rajasthan - Mandal
2229,SUA LAL,Independent,1924,Rajasthan - Mandal
2230,SHIVLAL GURJAR,Bahujan Samaj Party,1735,Rajasthan - Mandal
2231,FIRDOSH KHAN,Independent,1082,Rajasthan - Mandal
2232,BALU LAL GADRI,Independent,792,Rajasthan - Mandal
2233,None of the Above,None of the Above,3161,Rajasthan - Mandal
2234,KAILASH CHANDRA TRIVEDI,Indian National Congress,65420,Rajasthan - Sahara
2235,ROOP LAL JAT,Bharatiya Janata Party,58414,Rajasthan - Sahara
2236,LADU LAL PITLIA,Independent,30573,Rajasthan - Sahara
2237,BHAGWATI LAL,Independent,5101,Rajasthan - Sahara
2238,KAILASH GEHLOT,Communist Party of India,3642,Rajasthan - Sahara
2239,HIRALAL KHAROL,Independent,2478,Rajasthan - Sahara
2240,GOVIND KUMAR BAIRWA,Bahujan Samaj Party,2231,Rajasthan - Sahara
2241,RAMESHWAR LAL JOSHI,Independent,1740,Rajasthan - Sahara
2242,KISHANDAS VAISHNAV,Shiv Sena,1408,Rajasthan - Sahara
2243,GAJRAJ MEENA,Bharatiya Yuva Shakti,559,Rajasthan - Sahara
2244,None of the Above,None of the Above,3055,Rajasthan - Sahara
2245,VITTHAL SHANKAR AWASTHI,Bharatiya Janata Party,93198,Rajasthan - Bhilwara
2246,OM PRAKASH NARANIWAL,Independent,43620,Rajasthan - Bhilwara
2247,ANIL DANGI,Indian National Congress,18941,Rajasthan - Bhilwara
2248,ABDUL SALAM ANSARI,SOCIAL DEMOCRATIC PARTY OF INDIA,8468,Rajasthan - Bhilwara
2249,JASPAL SINGH BHATI,Independent,3762,Rajasthan - Bhilwara
2250,SUNIL AGIWAL,Aam Aadmi Party,1388,Rajasthan - Bhilwara
2251,SANGRAM SINGH ANCHLIA,Independent,714,Rajasthan - Bhilwara
2252,PAWAN KUMAR SHARMA,Independent,607,Rajasthan - Bhilwara
2253,CHITRANJAN PANDEY,Independent,564,Rajasthan - Bhilwara
2254,SHANKAR LAL SEN,Bahujan Samaj Party,529,Rajasthan - Bhilwara
2255,SUSHIL KUMAR NUWAL,Independent,488,Rajasthan - Bhilwara
2256,GOPAL LAL TELI,Independent,439,Rajasthan - Bhilwara
2257,MANJU MASIHI,Ambedkarite Party of India,422,Rajasthan - Bhilwara
2258,ASHISH JOSHI,Shiv Sena,228,Rajasthan - Bhilwara
2259,KISHAN LAL VYAS,Independent,207,Rajasthan - Bhilwara
2260,IRFAN SHAIKH,Lok Jan Shakti Party,154,Rajasthan - Bhilwara
2261,MANISH KUMAR,Naya Bharat Party,152,Rajasthan - Bhilwara
2262,None of the Above,None of the Above,1198,Rajasthan - Bhilwara
2263,KAILASH CHANDRA MEGHWAL,Bharatiya Janata Party,101451,Rajasthan - Shahpura
2264,MAHAVEER PRASAD,Indian National Congress,26909,Rajasthan - Shahpura
2265,RAJKUMAR BAIRWA,Independent,24482,Rajasthan - Shahpura
2266,DEBI LAL MEGHVNSHI,Rashtriya Loktantrik Party,5376,Rajasthan - Shahpura
2267,RAMDAYAL REGAR,Bahujan Samaj Party,1610,Rajasthan - Shahpura
2268,SHANKAR,Independent,1552,Rajasthan - Shahpura
2269,GOKUL CHANDRA KHATIK,Independent,971,Rajasthan - Shahpura
2270,OM PRAKASH,Independent,938,Rajasthan - Shahpura
2271,MAHAVEER,Independent,784,Rajasthan - Shahpura
2272,GOPAL KAISHAWAT,Aam Aadmi Party,606,Rajasthan - Shahpura
2273,PRAVEEN KUMAR BAIRWA,Bharatiya Yuva Shakti,492,Rajasthan - Shahpura
2274,None of the Above,None of the Above,4756,Rajasthan - Shahpura
2275,GOPI CHAND MEENA,Bharatiya Janata Party,94970,Rajasthan - Jahazpur
2276,DHEERAJ GURJAR,Indian National Congress,81717,Rajasthan - Jahazpur
2277,NAND LAL KHATIK,Bahujan Samaj Party,1551,Rajasthan - Jahazpur
2278,RATAN SINGH,Independent,1551,Rajasthan - Jahazpur
2279,KAJOD MAL,Independent,623,Rajasthan - Jahazpur
2280,RAM KARAN MEENA,National Future Party,483,Rajasthan - Jahazpur
2281,None of the Above,None of the Above,2984,Rajasthan - Jahazpur
2282,GOPAL LAL SHARMA,Bharatiya Janata Party,68481,Rajasthan - Mandalgarh 
2283,VIVEK DHAKAR,Indian National Congress,58148,Rajasthan - Mandalgarh 
2284,GOPAL MALVIYA,Independent,42163,Rajasthan - Mandalgarh 
2285,PYARALAL REGAR,Bahujan Samaj Party,2062,Rajasthan - Mandalgarh 
2286,SUNILA KUMAR,Independent,1647,Rajasthan - Mandalgarh 
2287,BRIJRAJ KRISHNA UPADHYAY,Independent,1567,Rajasthan - Mandalgarh 
2288,KAILASH SODANI,Aam Aadmi Party,1566,Rajasthan - Mandalgarh 
2289,LAXMINARAYAN SUWALKA,Independent,1494,Rajasthan - Mandalgarh 
2290,JAMEEL KHAN,Independent,1313,Rajasthan - Mandalgarh 
2291,MANGILAL BHIL,Independent,1115,Rajasthan - Mandalgarh 
2292,KALYAN MAL SEN,Independent,722,Rajasthan - Mandalgarh 
2293,JAILAL REBARI,Independent,618,Rajasthan - Mandalgarh 
2294,RAMSAHAY GURJAR,Bharatiya Yuva Shakti,579,Rajasthan - Mandalgarh 
2295,None of the Above,None of the Above,3459,Rajasthan - Mandalgarh 
2296,ASHOK,Indian National Congress,109958,Rajasthan - Hindoli
2297,OMENDRA SINGH HADA,Bharatiya Janata Party,79417,Rajasthan - Hindoli
2298,MANJU MEENA,Independent,1344,Rajasthan - Hindoli
2299,KESARI LAL,Bahujan Samaj Party,1291,Rajasthan - Hindoli
2300,VISHNU SHARMA,Loktantrik Janta Dal,627,Rajasthan - Hindoli
2301,KAILASH,Independent,537,Rajasthan - Hindoli
2302,UDAI LAL,Inqalab Vikas Dal,337,Rajasthan - Hindoli
2303,MUKESH KUMAR,Bharatiya Yuva Shakti,323,Rajasthan - Hindoli
2304,DHARMARAJ,Rashtriya Mazdoor Kisan Party,317,Rajasthan - Hindoli
2305,DAYAL DAS,Hindusthan Nirman Dal,304,Rajasthan - Hindoli
2306,KANHAIYA LAL,Aam Aadmi Party,229,Rajasthan - Hindoli
2307,None of the Above,None of the Above,3937,Rajasthan - Hindoli
2308,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party,72596,Rajasthan - Keshoraipatan 
2309,RAKESH BOYAT,Indian National Congress,65477,Rajasthan - Keshoraipatan 
2310,CHUNNILAL PREMI,Independent,35115,Rajasthan - Keshoraipatan 
2311,SHANKAR BAIRWA,Independent,2343,Rajasthan - Keshoraipatan 
2312,SHARWAN KUMAR,Bahujan Samaj Party,1683,Rajasthan - Keshoraipatan 
2313,YOGESH KUMAR VERMA,Independent,1454,Rajasthan - Keshoraipatan 
2314,RAJESH KUMAR MEGHWAL,Bharatiya Yuva Shakti,668,Rajasthan - Keshoraipatan 
2315,MAHAVEER PRASAD,Bharatiya Rashtravadi Samanta Party,662,Rajasthan - Keshoraipatan 
2316,ARVIND SINGH,Aam Aadmi Party,572,Rajasthan - Keshoraipatan 
2317,PRAHLAD,Rashtriya Mazdoor Kisan Party,335,Rajasthan - Keshoraipatan 
2318,None of the Above,None of the Above,4253,Rajasthan - Keshoraipatan 
2319,ASHOK DOGRA,Bharatiya Janata Party,97370,Rajasthan - Bundi
2320,HARIMOHAN SHARMA,Indian National Congress,96657,Rajasthan - Bundi
2321,SITA,Bahujan Samaj Party,3556,Rajasthan - Bundi
2322,ABDUL ANIS ANSARI,SOCIAL DEMOCRATIC PARTY OF INDIA,3456,Rajasthan - Bundi
2323,SANTOSH KUMARI,Independent,3002,Rajasthan - Bundi
2324,MANGILAL BHEEL,Independent,2483,Rajasthan - Bundi
2325,HEMRAJ,Independent,2102,Rajasthan - Bundi
2326,LAKHAN,Independent,2006,Rajasthan - Bundi
2327,RUKHSANA,Independent,1497,Rajasthan - Bundi
2328,RAKESH KUMAR,Independent,976,Rajasthan - Bundi
2329,GYARSI LAL GURJAR,Independent,751,Rajasthan - Bundi
2330,PREM SHANKAR,Independent,500,Rajasthan - Bundi
2331,OM PRAKASH MEENA,Bhartiya Kisan Party,466,Rajasthan - Bundi
2332,MANOJ KUMAR,Independent,438,Rajasthan - Bundi
2333,RAM KUWAR,Bharatiya Yuva Shakti,327,Rajasthan - Bundi
2334,GHANSHYAM,Naya Bharat Party,270,Rajasthan - Bundi
2335,KAMLESH CHAUHAN,Rashtriya Mazdoor Kisan Party,259,Rajasthan - Bundi
2336,None of the Above,None of the Above,1692,Rajasthan - Bundi
2337,RAMNARAIN MEENA,Indian National Congress,72690,Rajasthan - Pipalda
2338,MAMTA SHARMA,Bharatiya Janata Party,57785,Rajasthan - Pipalda
2339,RAJENDRA,Bahujan Samaj Party,5076,Rajasthan - Pipalda
2340,DULICHAND BORDA,Communist Party of India  (Marxist),2778,Rajasthan - Pipalda
2341,GORDHAN,Rashtriya Krantikari Samajwadi Party,1291,Rajasthan - Pipalda
2342,SHAMBHUDAYAL SUMAN,Independent,888,Rajasthan - Pipalda
2343,SARITA DEVI,Aam Aadmi Party,647,Rajasthan - Pipalda
2344,NARESH JANGID,Rashtriya Jankranti Party,567,Rajasthan - Pipalda
2345,MAHAVEER SHARMA,Bharat Vahini Party,541,Rajasthan - Pipalda
2346,None of the Above,None of the Above,2158,Rajasthan - Pipalda
2347,BHARAT SINGH KUNDANPUR,Indian National Congress,74154,Rajasthan - Sangod
2348,HEERA LAL NAGAR,Bharatiya Janata Party,72286,Rajasthan - Sangod
2349,SURESH KUMAR,Independent,2774,Rajasthan - Sangod
2350,PRABHULAL,Bahujan Samaj Party,1371,Rajasthan - Sangod
2351,DHANRAJ SEN,Bhartiya Kisan Party,925,Rajasthan - Sangod
2352,RAMESH CHAND,Independent,905,Rajasthan - Sangod
2353,YOGENDRA KUMAR,Aam Aadmi Party,596,Rajasthan - Sangod
2354,BHAIRULAL MALAV,Bharatiya Yuva Shakti,339,Rajasthan - Sangod
2355,None of the Above,None of the Above,1556,Rajasthan - Sangod
2356,SHANTI KUMAR DHARIWAL,Indian National Congress,94728,Rajasthan - Kota North
2357,PRAHLAD GUNJAL,Bharatiya Janata Party,76783,Rajasthan - Kota North
2358,NAEEM AZAD,Welfare Party Of India,771,Rajasthan - Kota North
2359,RAJ SURYA KUMAR BHATT,Independent,761,Rajasthan - Kota North
2360,RAJENDRA SUMAN,Bahujan Samaj Party,732,Rajasthan - Kota North
2361,MOHAMMAD HUSAIN,Aam Aadmi Party,568,Rajasthan - Kota North
2362,RAJESH RAIPRIA,Independent,298,Rajasthan - Kota North
2363,BABULAL MEGHWAL ADVOCATE,Independent,199,Rajasthan - Kota North
2364,NEERAJ AGARWAL,Independent,126,Rajasthan - Kota North
2365,BHANWAR SINGH,Bharatiya Yuva Shakti,120,Rajasthan - Kota North
2366,"SHAMBHU DAYAL KHANDELWAL ""CHASHME WALE""",Naya Bharat Party,92,Rajasthan - Kota North
2367,None of the Above,None of the Above,2363,Rajasthan - Kota North
2368,SANDEEP SHARMA,Bharatiya Janata Party,82739,Rajasthan - Kota South
2369,RAKHI GAUTAM,Indian National Congress,75205,Rajasthan - Kota South
2370,MANMOHAN JOSHI,Independent,2180,Rajasthan - Kota South
2371,RAVINDRA SINGH (SINTU BANA),Bharatiya Yuva Shakti,1960,Rajasthan - Kota South
2372,KUNJ BIHARI SINGHAL (K.B.),Aam Aadmi Party,1639,Rajasthan - Kota South
2373,NAVED AKHTAR,SOCIAL DEMOCRATIC PARTY OF INDIA,983,Rajasthan - Kota South
2374,RAM CHARAN,Bahujan Samaj Party,718,Rajasthan - Kota South
2375,YUGAL KISHOR,Independent,683,Rajasthan - Kota South
2376,NAYAN KALRA,Bharatiya Rashtravadi Samanta Party,439,Rajasthan - Kota South
2377,MANISH SHARMA,Bharat Vahini Party,400,Rajasthan - Kota South
2378,ACHARYA DHANRAJ SHARMA,Independent,347,Rajasthan - Kota South
2379,TEJPAL,Independent,309,Rajasthan - Kota South
2380,SHARAD KUMAR DIXIT,Independent,254,Rajasthan - Kota South
2381,ASHUTOSH SHARMA,Independent,142,Rajasthan - Kota South
2382,RAMESH SINGH TANWAR,Naya Bharat Party,129,Rajasthan - Kota South
2383,RAJAN RAJGURU,Abhinav Rajasthan Party,123,Rajasthan - Kota South
2384,ANIL KUMAR GUPTA,Independent,94,Rajasthan - Kota South
2385,ABDUL AZIZ PATHAN,Independent,81,Rajasthan - Kota South
2386,None of the Above,None of the Above,1915,Rajasthan - Kota South
2387,KALPANA DEVI,Bharatiya Janata Party,104912,Rajasthan - Ladpura 
2388,GULANAJ GUDDU,Indian National Congress,83256,Rajasthan - Ladpura 
2389,AMPI CHATTER,Aam Aadmi Party,3451,Rajasthan - Ladpura 
2390,RAJA RAM MEGHWAL,Bahujan Samaj Party,1167,Rajasthan - Ladpura 
2391,MUKUT BIHARI MEENA,Independent,1149,Rajasthan - Ladpura 
2392,DAMYANTI GOCHER,Independent,447,Rajasthan - Ladpura 
2393,JASWANT SUMAN,Rashtriya Loktantrik Party,391,Rajasthan - Ladpura 
2394,DAMODAR PRASAD,Shiv Sena,325,Rajasthan - Ladpura 
2395,RAJESH GURJAR (BOAD),Bharatiya Yuva Shakti,295,Rajasthan - Ladpura 
2396,CHIRONJI LAL SAMARIYA,Bharatiya Republican Paksha,225,Rajasthan - Ladpura 
2397,AVADESH YADAV,Naya Bharat Party,175,Rajasthan - Ladpura 
2398,None of the Above,None of the Above,2919,Rajasthan - Ladpura 
2399,MADAN DILAWAR,Bharatiya Janata Party,90817,Rajasthan - Ramganj mandi 
2400,RAMGOPAL,Indian National Congress,77938,Rajasthan - Ramganj mandi 
2401,KAILASH CHAND,Bahujan Samaj Party,2521,Rajasthan - Ramganj mandi 
2402,NIRMAL MEHRA,Aam Aadmi Party,2115,Rajasthan - Ramganj mandi 
2403,BHANWAR KUMAR RAWAL,Bharatiya Yuva Shakti,936,Rajasthan - Ramganj mandi 
2404,None of the Above,None of the Above,2196,Rajasthan - Ramganj mandi 
2405,PRAMOD BHAYA,Indian National Congress,97160,Rajasthan - Anta
2406,PRABHU LAL SAINI,Bharatiya Janata Party,63097,Rajasthan - Anta
2407,ASHOK KUMAR JAIN,Aam Aadmi Party,1739,Rajasthan - Anta
2408,RAVIKANT MEENA,Independent,1447,Rajasthan - Anta
2409,DEENBANDHU DHAKAD,Bahujan Samaj Party,1335,Rajasthan - Anta
2410,BHUVNESH NAGAR,Independent,796,Rajasthan - Anta
2411,DINESH KUMAR,Independent,374,Rajasthan - Anta
2412,None of the Above,None of the Above,1301,Rajasthan - Anta
2413,NIRMALA SAHARIYA,Indian National Congress,87765,Rajasthan - Kishanganj 
2414,LALIT MEENA,Bharatiya Janata Party,73629,Rajasthan - Kishanganj 
2415,RADHAKISHAN MEENA,Bahujan Samaj Party,2193,Rajasthan - Kishanganj 
2416,KALULAL BHEEL,Bharatiya Rashtravadi Samanta Party,1484,Rajasthan - Kishanganj 
2417,LEELADHAR MEENA,Bharatiya Yuva Shakti,923,Rajasthan - Kishanganj 
2418,BALVEER URF BEERBAL,Independent,922,Rajasthan - Kishanganj 
2419,None of the Above,None of the Above,3034,Rajasthan - Kishanganj 
2420,PANA CHAND MEGHWAL,Indian National Congress,86986,Rajasthan - Baran-atru 
2421,BABOO LAL VERMA,Bharatiya Janata Party,74738,Rajasthan - Baran-atru 
2422,DHARMRAJ MEHRA,Independent,3778,Rajasthan - Baran-atru 
2423,LALIT SHAKYAWAL,Independent,1069,Rajasthan - Baran-atru 
2424,RAM BHAROSH NARWALA,Bahujan Samaj Party,960,Rajasthan - Baran-atru 
2425,RAMSINGH AIRWAL,Shiv Sena,655,Rajasthan - Baran-atru 
2426,BHARAT PRAKASH,Aam Aadmi Party,321,Rajasthan - Baran-atru 
2427,HEMRAJ MEHRA,Bharatiya Yuva Shakti,264,Rajasthan - Baran-atru 
2428,LAKSHMAN KUMAR BAIRWA,Bharat Vahini Party,197,Rajasthan - Baran-atru 
2429,RAJENDRA KUMAR,Bahujan Mukti Party,183,Rajasthan - Baran-atru 
2430,None of the Above,None of the Above,3063,Rajasthan - Baran-atru 
2431,PRATAP SINGH,Bharatiya Janata Party,79707,Rajasthan - Chhabra
2432,KARAN SINGH,Indian National Congress,75963,Rajasthan - Chhabra
2433,VEERBHADRA SINGH,Independent,14252,Rajasthan - Chhabra
2434,REKHA RANI,Bahujan Samaj Party,2796,Rajasthan - Chhabra
2435,BHAGWAN SAWROOP,Bhartiya Kisan Party,1550,Rajasthan - Chhabra
2436,RAM SWAROOP NAGAR,Independent,796,Rajasthan - Chhabra
2437,KALAN,Asankhya Samaj Party,779,Rajasthan - Chhabra
2438,HEMANT KUMAR,Aam Aadmi Party,540,Rajasthan - Chhabra
2439,RAMESH MEENA,Bharat Vahini Party,414,Rajasthan - Chhabra
2440,JITENDRA,Bharatiya Yuva Shakti,346,Rajasthan - Chhabra
2441,None of the Above,None of the Above,3343,Rajasthan - Chhabra
2442,KALURAM,Bharatiya Janata Party,103665,Rajasthan - Dag 
